,Player,WS,WS/48
657,Dalen Terry,0.8,.060
658,Daniel Theis,2.5,.119
659,Daniel Theis,0.0,-0.261
660,Daniel Theis,2.6,.122
661,Cam Thomas,2.5,.058
662,Isaiah Thomas,0.0,-0.030
663,Amen Thompson,4.3,.149
664,Ausar Thompson,1.8,.053
665,Klay Thompson,3.6,.075
666,Tristan Thompson,1.4,.119
667,JT Thor,0.6,.034
668,Player,WS,WS/48
669,Matisse Thybulle,2.2,.072
670,Xavier Tillman Sr.,1.4,.071
671,Xavier Tillman Sr.,0.6,.043
672,Xavier Tillman Sr.,0.8,.142
673,Jacob Toppin,0.1,.161
674,Obi Toppin,4.8,.132
675,Juan Toscano-Anderson,0.0,-0.024
676,Karl-Anthony Towns,6.3,.148
677,Gary Trent Jr.,1.7,.040
678,Oscar Tshiebwe,0.2,.221
679,P.J. Tucker,0.7,.068
680,P.J. Tucker,0.1,.053
681,P.J. Tucker,0.6,.070
682,Myles Turner,5.8,.134
683,Hunter Tyson,0.0,.007
684,Stanley Umude,0.5,.085
685,Jonas Valančiūnas,7.1,.177
686,Jarred Vanderbilt,1.1,.089
687,Fred VanVleet,8.4,.150
688,Devin Vassell,3.6,.077
689,Sasha Vezenkov,1.0,.098
690,Gabe Vincent,-0.1,-0.033
691,Nikola Vučević,5.4,.100
692,Tristan Vukcevic,0.1,.045
693,Player,WS,WS/48
694,Dean Wade,2.5,.110
695,Franz Wagner,6.4,.131
696,Moritz Wagner,5.6,.188
697,Ish Wainright,0.0,.029
698,Ish Wainright,0.1,.054
699,Ish Wainright,0.0,-0.042
700,Jabari Walker,2.9,.083
701,Jarace Walker,0.4,.058
702,Lonnie Walker IV,0.8,.038
703,Cason Wallace,4.0,.115
704,Jordan Walsh,0.2,.089
705,T.J. Warren,0.2,.060
706,P.J. Washington,1.9,.040
707,P.J. Washington,0.8,.028
708,P.J. Washington,1.1,.056
709,TyTy Washington Jr.,-0.1,-0.072
710,Yuta Watanabe,-0.1,-0.009
711,Yuta Watanabe,0.0,.004
712,Yuta Watanabe,-0.1,-0.074
713,Lindy Waters III,0.9,.150
714,Trendon Watford,1.8,.100
715,Peyton Watson,2.5,.079
716,Victor Wembanyama,3.7,.085
717,Blake Wesley,0.9,.050
718,Russell Westbrook,2.1,.066
719,Coby White,4.7,.078
720,Player,WS,WS/48
721,Derrick White,8.5,.171
722,Jack White,-0.1,-0.100
723,Cam Whitmore,1.5,.082
724,Aaron Wiggins,3.7,.144
725,Andrew Wiggins,2.8,.070
726,Lindell Wigginton,0.0,-0.154
727,Alondes Williams,-0.1,-0.357
728,Brandon Williams,-0.1,-0.044
729,Grant Williams,2.6,.059
730,Grant Williams,1.3,.052
731,Grant Williams,1.3,.070
732,Jalen Williams,7.3,.157
733,Jaylin Williams,2.4,.130
734,Jeenathan Williams,0.3,.110
735,Kenrich Williams,2.5,.115
736,Malik Williams,-0.2,-0.069
737,Mark Williams,2.1,.198
738,Patrick Williams,1.2,.048
739,Robert Williams,0.4,.144
740,Vince Williams Jr.,2.8,.093
741,Ziaire Williams,0.2,.010
742,Zion Williamson,7.5,.164
743,Player,WS,WS/48
744,D.J. Wilson,0.1,.355
745,Jalen Wilson,1.1,.077
746,Dylan Windler,0.3,.140
747,Dylan Windler,0.0,.238
748,Dylan Windler,0.1,.194
749,Dylan Windler,0.2,.110
750,James Wiseman,2.1,.094
751,Isaiah Wong,0.0,-0.277
752,Christian Wood,1.2,.064
753,Delon Wright,1.7,.109
754,Delon Wright,0.9,.092
755,Delon Wright,0.8,.136
756,Thaddeus Young,1.3,.138
757,Thaddeus Young,1.0,.138
758,Thaddeus Young,0.3,.137
759,Trae Young,4.6,.114
760,Omer Yurtseven,0.7,.062
761,Cody Zeller,0.8,.124
762,Ivica Zubac,6.8,.182
