slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
tillmxa01,Xavier Tillman Sr.,POWER FORWARD,22,MEMPHIS GRIZZLIES,59,12,1085,167,299,22,65,34,53,74,182,75,44,33,45,116,390
tollian01,Anthony Tolliver,POWER FORWARD,35,PHILADELPHIA 76ERS,11,0,99,4,17,4,14,5,6,3,7,2,3,2,3,7,17
toppiob01,Obi Toppin,POWER FORWARD,22,NEW YORK KNICKS,62,0,683,104,209,26,85,19,26,26,112,29,17,15,23,55,253
toscaju01,Juan Toscano-Anderson,SHOOTING GUARD,27,GOLDEN STATE WARRIORS,53,16,1107,121,209,37,92,22,31,29,205,150,41,26,61,111,301
toupaax01,Axel Toupane,SMALL FORWARD,28,MILWAUKEE BUCKS,8,1,61,4,11,1,2,5,7,0,6,4,2,3,0,6,14
townska01,Karl-Anthony Towns,CENTER,25,MINNESOTA TIMBERWOLVES,50,50,1689,425,875,122,315,267,311,133,396,225,39,57,160,186,1239
trentga02,Gary Trent Jr.,SHOOTING GUARD,22,PORTLAND TRAIL BLAZERS,41,23,1262,217,524,121,305,58,75,21,70,58,37,6,31,63,613
trentga02,Gary Trent Jr.,SHOOTING GUARD,22,TORONTO RAPTORS,17,15,540,103,261,44,124,25,31,6,55,22,19,4,12,29,275
tuckepj01,P.J. Tucker,POWER FORWARD,35,HOUSTON ROCKETS,32,32,959,48,131,27,86,18,23,33,115,45,29,18,33,91,141
tuckepj01,P.J. Tucker,POWER FORWARD,35,MILWAUKEE BUCKS,20,1,397,18,46,13,33,3,5,18,38,16,10,2,7,34,52
tuckera01,Rayjon Tucker,POINT GUARD,23,PHILADELPHIA 76ERS,14,0,68,9,18,2,7,14,19,1,10,6,2,0,4,8,34
turnemy01,Myles Turner,CENTER,24,INDIANA PACERS,47,47,1455,206,432,69,206,111,142,63,243,48,40,159,67,165,592
valanjo01,Jonas Valančiūnas,CENTER,28,MEMPHIS GRIZZLIES,62,61,1755,440,743,21,57,157,203,253,523,112,35,57,100,179,1058
valende01,Denzel Valentine,SHOOTING GUARD,27,CHICAGO BULLS,62,3,1036,155,416,80,242,16,17,24,173,105,30,7,42,70,406
vandeja01,Jarred Vanderbilt,POWER FORWARD,21,MINNESOTA TIMBERWOLVES,64,30,1139,143,236,1,5,57,102,118,250,76,64,46,53,123,344
vanvlfr01,Fred VanVleet,SHOOTING GUARD,26,TORONTO RAPTORS,52,52,1899,338,870,174,476,169,191,32,188,328,87,37,95,119,1019
varejan01,Anderson Varejão,CENTER,38,CLEVELAND CAVALIERS,5,0,36,4,16,0,1,5,9,7,13,3,0,2,1,3,13
vassede01,Devin Vassell,SMALL FORWARD,20,SAN ANTONIO SPURS,62,7,1056,123,303,52,150,43,51,24,150,56,43,18,22,88,341
vincega01,Gabe Vincent,POINT GUARD,24,MIAMI HEAT,50,7,655,88,233,46,149,20,23,10,46,67,21,2,34,79,242
vonleno01,Noah Vonleh,CENTER,25,BROOKLYN NETS,4,0,11,0,3,0,2,0,0,0,1,1,0,0,2,2,0
vucevni01,Nikola Vučević,CENTER,30,ORLANDO MAGIC,44,44,1500,436,908,117,288,91,110,87,430,167,42,28,83,79,1080
vucevni01,Nikola Vučević,CENTER,30,CHICAGO BULLS,26,26,848,230,488,59,152,40,46,59,241,102,23,20,43,58,559
wadede01,Dean Wade,POWER FORWARD,24,CLEVELAND CAVALIERS,63,19,1212,134,311,78,213,30,39,38,177,74,35,21,30,78,376
wagnemo01,Moritz Wagner,CENTER,23,WASHINGTON WIZARDS,25,13,375,62,122,13,42,41,52,13,60,32,22,8,21,62,178
wagnemo01,Moritz Wagner,CENTER,23,BOSTON CELTICS,9,1,61,4,14,2,6,1,2,3,16,6,0,1,9,10,11
wagnemo01,Moritz Wagner,CENTER,23,ORLANDO MAGIC,11,10,286,38,93,16,43,29,33,11,43,12,4,9,13,36,121
walkeke02,Kemba Walker,POINT GUARD,30,BOSTON CELTICS,43,43,1369,284,676,127,353,134,149,16,154,212,48,12,88,61,829
walkelo01,Lonnie Walker IV,SHOOTING GUARD,22,SAN ANTONIO SPURS,60,38,1522,256,609,100,282,57,70,14,141,101,29,15,65,101,669
walljo01,John Wall,POINT GUARD,30,HOUSTON ROCKETS,40,40,1288,293,726,79,249,158,211,17,112,275,42,31,141,46,823
wanambr01,Brad Wanamaker,POINT GUARD,31,GOLDEN STATE WARRIORS,39,0,625,61,173,13,61,50,56,8,58,99,26,6,37,55,185
wanambr01,Brad Wanamaker,POINT GUARD,31,CHARLOTTE HORNETS,22,0,428,54,126,3,24,40,45,10,29,75,17,5,34,39,151
warretj01,T.J. Warren,SMALL FORWARD,27,INDIANA PACERS,4,4,117,27,51,0,7,8,10,2,12,5,2,0,4,16,62
washipj01,P.J. Washington,POWER FORWARD,22,CHARLOTTE HORNETS,64,61,1954,302,686,112,290,108,145,93,325,161,69,79,128,171,824
watanyu01,Yuta Watanabe,SMALL FORWARD,26,TORONTO RAPTORS,50,4,723,79,180,36,90,24,29,36,123,40,26,19,19,57,218
watertr01,Tremont Waters,POINT GUARD,23,BOSTON CELTICS,26,3,238,34,84,15,38,16,17,5,16,62,15,1,27,17,99
watsopa01,Paul Watson,SMALL FORWARD,26,TORONTO RAPTORS,27,2,297,38,82,30,64,5,8,4,41,17,6,3,9,36,111
weathqu01,Quinndary Weatherspoon,SHOOTING GUARD,24,SAN ANTONIO SPURS,20,0,121,16,35,1,6,13,16,3,8,8,8,2,10,18,46
westbru01,Russell Westbrook,POINT GUARD,32,WASHINGTON WIZARDS,65,65,2369,544,1238,86,273,271,413,109,641,763,89,23,312,190,1445
whiteco01,Coby White,POINT GUARD,20,CHICAGO BULLS,69,54,2156,375,902,163,454,128,142,28,256,328,38,15,156,179,1041
whitede01,Derrick White,SHOOTING GUARD,26,SAN ANTONIO SPURS,36,32,1064,186,453,84,243,97,114,13,94,127,26,36,45,91,553
whiteha01,Hassan Whiteside,CENTER,31,SACRAMENTO KINGS,36,4,546,126,224,0,1,41,79,61,154,20,9,46,40,73,293
whittgr01,Greg Whittington,POWER FORWARD,27,DENVER NUGGETS,4,0,12,0,3,0,2,0,0,0,0,0,0,0,0,0,0
wiggian01,Andrew Wiggins,POWER FORWARD,25,GOLDEN STATE WARRIORS,71,71,2364,505,1058,140,368,170,238,82,265,167,67,70,126,159,1320
willigr01,Grant Williams,POWER FORWARD,22,BOSTON CELTICS,63,9,1138,108,247,48,129,30,51,48,130,64,32,24,56,161,294
willike04,Kenrich Williams,POWER FORWARD,26,OKLAHOMA CITY THUNDER,66,13,1426,219,411,52,117,36,63,84,189,152,55,17,76,143,526
willilo02,Lou Williams,POINT GUARD,34,LOS ANGELES CLIPPERS,42,3,918,181,430,45,119,103,119,15,73,144,39,4,66,42,510
willilo02,Lou Williams,POINT GUARD,34,ATLANTA HAWKS,24,1,505,84,216,24,54,47,54,6,44,81,8,2,42,20,239
willipa01,Patrick Williams,POWER FORWARD,19,CHICAGO BULLS,71,71,1983,255,528,54,138,91,125,66,261,99,64,46,98,126,655
williro04,Robert Williams,CENTER,23,BOSTON CELTICS,52,13,985,186,258,0,2,45,73,133,225,94,43,91,52,105,417
willizi01,Zion Williamson,POWER FORWARD,20,NEW ORLEANS PELICANS,61,61,2026,634,1037,10,34,369,529,167,274,226,57,39,167,135,1647
wilsodj01,D.J. Wilson,POWER FORWARD,24,MILWAUKEE BUCKS,12,0,105,16,43,10,28,1,2,3,22,3,1,4,4,13,43
wilsodj01,D.J. Wilson,POWER FORWARD,24,HOUSTON ROCKETS,23,1,328,52,125,20,59,16,23,17,70,20,10,12,18,31,140
windldy01,Dylan Windler,SMALL FORWARD,24,CLEVELAND CAVALIERS,31,0,513,57,130,26,77,21,27,20,87,33,19,12,32,37,161
winslju01,Justise Winslow,SMALL FORWARD,24,MEMPHIS GRIZZLIES,26,1,507,74,210,10,54,20,35,18,100,50,15,12,37,47,178
winstca01,Cassius Winston,POINT GUARD,22,WASHINGTON WIZARDS,22,0,98,14,33,8,17,5,6,0,9,12,2,1,5,8,41
